                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78631,                 4.1934,                 1.2498,                0.02472,                0.31393,                0.03443,                0.02745,                 0.6093,                 3.7091,                 1.1928,             9.1284e-05,             9.1284e-05,             9.1284e-05
                      2,                0.72868,                 3.6684,                 1.2395,                0.40634,                 0.2278,                0.17263,                0.13058,                0.71442,                 2.6951,                 1.2615,             0.00018213,             0.00018213,             0.00018213
                      3,                0.76836,                 3.0789,                 1.2537,                0.43129,                0.35865,                0.34292,                0.26417,                0.71422,                 2.2668,                 1.2686,             0.00027114,             0.00027114,             0.00027114
                      4,                0.75352,                 2.6658,                   1.24,                0.40528,                0.46861,                0.43404,                0.33779,                0.75128,                  1.954,                 1.3028,             0.00026974,             0.00026974,             0.00026974
                      5,                0.73168,                 2.4022,                 1.2221,                0.56333,                0.52763,                0.56674,                0.44759,                0.69225,                 1.6715,                 1.2354,             0.00026699,             0.00026699,             0.00026699
                      6,                0.71713,                 2.0677,                 1.1933,                 0.6486,                0.63765,                0.69039,                0.56464,                0.66188,                 1.3354,                 1.1956,             0.00026424,             0.00026424,             0.00026424
                      7,                0.69874,                 1.8433,                 1.1762,                 0.7071,                0.67059,                0.73699,                0.57876,                0.74268,                 1.3288,                 1.2802,             0.00026149,             0.00026149,             0.00026149
                      8,                0.66872,                 1.6911,                 1.1525,                0.79431,                0.76551,                 0.8394,                0.70438,                0.63091,                 1.0442,                 1.1624,             0.00025873,             0.00025873,             0.00025873
                      9,                 0.6885,                 1.6229,                 1.1667,                0.78105,                0.77123,                0.84311,                0.70632,                 0.6276,                 1.0003,                 1.1557,             0.00025598,             0.00025598,             0.00025598
                     10,                0.65494,                 1.4617,                 1.1439,                0.75762,                0.81711,                 0.8748,                0.73181,                0.61838,                0.94522,                 1.1409,             0.00025323,             0.00025323,             0.00025323
                     11,                0.65555,                 1.4098,                 1.1363,                0.80759,                0.84709,                0.89809,                0.75802,                0.60465,                0.88348,                 1.1229,             0.00025048,             0.00025048,             0.00025048
                     12,                0.63984,                 1.3213,                 1.1259,                0.85667,                0.82202,                0.91321,                0.78111,                0.58328,                0.89157,                 1.1264,             0.00024773,             0.00024773,             0.00024773
                     13,                0.62432,                 1.2849,                 1.1245,                0.86999,                 0.8833,                0.92904,                0.79533,                0.58172,                0.74661,                 1.1156,             0.00024497,             0.00024497,             0.00024497
